Channel 1
Axis [s],ROI1 [],ROI2 [],ROI3 []
12.991,153.02027027027,149.805698456668,9.725
13.058,151.702702702703,149.300356153542,7.2
13.13,151.033783783784,150.041749109616,11.1875
13.197,151.358108108108,150.032053818757,11.6
13.264,156.114864864865,150.476850019786,9.0625
13.331,152.371621621622,150.208943411159,9.4375
13.398,159.216216216216,149.680846853977,6.7
13.47,149.459459459459,149.006727344677,9.375
13.537,158.635135135135,151.215077166601,8.0625
13.605,148.695945945946,149.863078749505,8.1625
13.674,149.060810810811,148.844281757024,8.3125
13.741,143.621621621622,149.784131381084,10.25
13.808,152.932432432432,148.105461020973,9.5125
13.877,157.560810810811,148.82113177681,10.6125
13.945,156.054054054054,149.775227542541,9.0125
14.012,149.560810810811,149.352987732489,8.5
14.082,150.324324324324,149.604075979422,10.3875
14.149,154.540540540541,149.844281757024,8.1875
14.216,145.412162162162,149.673723783142,10.225
14.283,154.932432432432,150.234863474476,9.8875
14.35,151.527027027027,150.050850811239,9.7875
14.417,150.851351351351,150.094182825485,9.6375
14.489,154.864864864865,149.386822318955,7.9875
14.556,153.587837837838,150.565492679066,8.6875
14.627,151.587837837838,149.983973090621,7.7
14.694,149.324324324324,149.200831024931,8.3875
14.761,147.304054054054,149.324099722992,10.975
14.83,156.22972972973,149.694103680253,9.2375
14.897,148.655405405405,148.405817174515,10.425
14.964,150.033783783784,149.081717451524,7.8875
15.034,148.195945945946,151.004155124654,7.625
15.101,147.905405405405,149.356153541749,10.2625
15.168,151.344594594595,149.780174119509,9.2875
15.238,151.459459459459,150.57756232687,9.3375
15.305,149.547297297297,148.575781559161,9.55
15.372,167.027027027027,149.688761377127,8.475
15.44,153.121621621622,149.945785516423,10.2375
15.507,154.27027027027,149.50791452315,8.6125
15.574,153.851351351351,150.04590423427,10.975
15.645,145.952702702703,149.077958053027,9.725
15.712,149.236486486486,148.767708745548,10.325
15.78,157.121621621622,150.088049070044,10.9125
15.847,149.135135135135,148.997032053819,11.875
15.914,150.824324324324,149.41610605461,9.925
15.986,152.033783783784,149.088444796201,8.7375
16.053,144.702702702703,148.369410368025,8.4125
16.12,160.236486486486,149.027700831025,13.125
16.19,149.101351351351,150.167194301543,7.95
